C,solver,max_iter,accuracy,mae,rmse
0.01,lbfgs,200,0.87,0.21,0.6082762530298219
0.01,lbfgs,500,0.87,0.21,0.6082762530298219
0.01,lbfgs,1000,0.89,0.19,0.5916079783099616
0.01,lbfgs,1500,0.89,0.19,0.5916079783099616
0.1,lbfgs,200,0.92,0.11,0.41231056256176607
0.1,lbfgs,500,0.92,0.11,0.41231056256176607
0.1,lbfgs,1000,0.92,0.11,0.41231056256176607
0.1,lbfgs,1500,0.92,0.11,0.41231056256176607
1.0,lbfgs,200,0.94,0.07,0.3
1.0,lbfgs,500,0.94,0.07,0.3
1.0,lbfgs,1000,0.94,0.07,0.3
1.0,lbfgs,1500,0.95,0.05,0.22360679774997896
10.0,lbfgs,200,0.95,0.05,0.22360679774997896
10.0,lbfgs,500,0.95,0.05,0.22360679774997896
10.0,lbfgs,1000,0.95,0.05,0.22360679774997896
10.0,lbfgs,1500,0.97,0.03,0.17320508075688773
